dataset	original_id	ensembl	symbol	mapping_source	duplicate_status	included	exclusion_reason
OKSA	ENSG00000006432	ENSG00000006432	MAP3K9	ensembl_from_source	unique	True	
OKSA	ENSG00000006451	ENSG00000006451	RALA	ensembl_from_source	unique	True	
OKSA	ENSG00000006453	ENSG00000006453	BAIAP2L1	ensembl_from_source	unique	True	
OKSA	ENSG00000006459	ENSG00000006459	KDM7A	ensembl_from_source	unique	True	
OKSA	ENSG00000006530	ENSG00000006530	AGK	ensembl_from_source	unique	True	
OKSA	ENSG00000006534	ENSG00000006534	ALDH3B1	ensembl_from_source	unique	True	
OKSA	ENSG00000006555	ENSG00000006555	TTC22	ensembl_from_source	unique	True	
OKSA	ENSG00000006576	ENSG00000006576	PHTF2	ensembl_from_source	unique	True	
OKSA	ENSG00000006607	ENSG00000006607	FARP2	ensembl_from_source	unique	True	
OKSA	ENSG00000006625	ENSG00000006625	GGCT	ensembl_from_source	unique	True	
OKSA	ENSG00000006634	ENSG00000006634	DBF4	ensembl_from_source	unique	True	
OKSA	ENSG00000006638	ENSG00000006638	TBXA2R	ensembl_from_source	unique	True	
OKSA	ENSG00000006652	ENSG00000006652	IFRD1	ensembl_from_source	unique	True	
OKSA	ENSG00000006695	ENSG00000006695	COX10	ensembl_from_source	unique	True	
OKSA	ENSG00000006704	ENSG00000006704	GTF2IRD1	ensembl_from_source	unique	True	
OKSA	ENSG00000006712	ENSG00000006712	PAF1	ensembl_from_source	unique	True	
OKSA	ENSG00000006715	ENSG00000006715	VPS41	ensembl_from_source	unique	True	
OKSA	ENSG00000006740	ENSG00000006740	ARHGAP44	ensembl_from_source	unique	True	
OKSA	ENSG00000006744	ENSG00000006744	ELAC2	ensembl_from_source	unique	True	
OKSA	ENSG00000006756	ENSG00000006756	ARSD	ensembl_from_source	unique	True	
OKSA	ENSG00000006757	ENSG00000006757	PNPLA4	ensembl_from_source	unique	True	
OKSA	ENSG00000006831	ENSG00000006831	ADIPOR2	ensembl_from_source	unique	True	
OKSA	ENSG00000006837	ENSG00000006837	CDKL3	ensembl_from_source	unique	True	
OKSA	ENSG00000007038	ENSG00000007038	PRSS21	ensembl_from_source	unique	True	
OKSA	ENSG00000007047	ENSG00000007047	MARK4	ensembl_from_source	unique	True	
OKSA	ENSG00000007062	ENSG00000007062	PROM1	ensembl_from_source	unique	True	
OKSA	ENSG00000007080	ENSG00000007080	CCDC124	ensembl_from_source	unique	True	
OKSA	ENSG00000007129	ENSG00000007129	CEACAM21	ensembl_from_source	unique	True	
OKSA	ENSG00000007168	ENSG00000007168	PAFAH1B1	ensembl_from_source	unique	True	
OKSA	ENSG00000007171	ENSG00000007171	NOS2	ensembl_from_source	unique	True	
OKSA	ENSG00000007202	ENSG00000007202	BLTP2	ensembl_from_source	unique	True	
OKSA	ENSG00000007237	ENSG00000007237	GAS7	ensembl_from_source	unique	True	
OKSA	ENSG00000007255	ENSG00000007255	TRAPPC6A	ensembl_from_source	unique	True	
OKSA	ENSG00000007264	ENSG00000007264	MATK	ensembl_from_source	unique	True	
OKSA	ENSG00000007312	ENSG00000007312	CD79B	ensembl_from_source	unique	True	
OKSA	ENSG00000007314	ENSG00000007314	SCN4A	ensembl_from_source	unique	True	
OKSA	ENSG00000007341	ENSG00000007341	ST7L	ensembl_from_source	unique	True	
OKSA	ENSG00000007350	ENSG00000007350	TKTL1	ensembl_from_source	unique	True	
OKSA	ENSG00000007372	ENSG00000007372	PAX6	ensembl_from_source	unique	True	
OKSA	ENSG00000007376	ENSG00000007376	RPUSD1	ensembl_from_source	unique	True	
OKSA	ENSG00000007384	ENSG00000007384	RHBDF1	ensembl_from_source	unique	True	
OKSA	ENSG00000007392	ENSG00000007392	LUC7L	ensembl_from_source	unique	True	
OKSA	ENSG00000007402	ENSG00000007402	CACNA2D2	ensembl_from_source	unique	True	
OKSA	ENSG00000007516	ENSG00000007516	BAIAP3	ensembl_from_source	unique	True	
OKSA	ENSG00000007520	ENSG00000007520	TSR3	ensembl_from_source	unique	True	
OKSA	ENSG00000007541	ENSG00000007541	PIGQ	ensembl_from_source	unique	True	
OKSA	ENSG00000007545	ENSG00000007545	CRAMP1	ensembl_from_source	unique	True	
OKSA	ENSG00000007866	ENSG00000007866	TEAD3	ensembl_from_source	unique	True	
OKSA	ENSG00000007923	ENSG00000007923	DNAJC11	ensembl_from_source	unique	True	
OKSA	ENSG00000007944	ENSG00000007944	MYLIP	ensembl_from_source	unique	True	
OKSA	ENSG00000007968	ENSG00000007968	E2F2	ensembl_from_source	unique	True	
OKSA	ENSG00000008018	ENSG00000008018	PSMB1	ensembl_from_source	unique	True	
OKSA	ENSG00000008083	ENSG00000008083	JARID2	ensembl_from_source	unique	True	
OKSA	ENSG00000008086	ENSG00000008086	CDKL5	ensembl_from_source	unique	True	
OKSA	ENSG00000008128	ENSG00000008128	CDK11A	ensembl_from_source	unique	True	
OKSA	ENSG00000008130	ENSG00000008130	NADK	ensembl_from_source	unique	True	
OKSA	ENSG00000008226	ENSG00000008226	DLEC1	ensembl_from_source	unique	True	
OKSA	ENSG00000008256	ENSG00000008256	CYTH3	ensembl_from_source	unique	True	
OKSA	ENSG00000008277	ENSG00000008277	ADAM22	ensembl_from_source	unique	True	
OKSA	ENSG00000008282	ENSG00000008282	SYPL1	ensembl_from_source	unique	True	
OKSA	ENSG00000008283	ENSG00000008283	CYB561	ensembl_from_source	unique	True	
OKSA	ENSG00000008294	ENSG00000008294	SPAG9	ensembl_from_source	unique	True	
OKSA	ENSG00000008300	ENSG00000008300	CELSR3	ensembl_from_source	unique	True	
OKSA	ENSG00000008311	ENSG00000008311	AASS	ensembl_from_source	unique	True	
OKSA	ENSG00000008324	ENSG00000008324	SS18L2	ensembl_from_source	unique	True	
OKSA	ENSG00000008382	ENSG00000008382	MPND	ensembl_from_source	unique	True	
OKSA	ENSG00000008394	ENSG00000008394	MGST1	ensembl_from_source	unique	True	
OKSA	ENSG00000008405	ENSG00000008405	CRY1	ensembl_from_source	unique	True	
OKSA	ENSG00000008438	ENSG00000008438	PGLYRP1	ensembl_from_source	unique	True	
OKSA	ENSG00000008441	ENSG00000008441	NFIX	ensembl_from_source	unique	True	
OKSA	ENSG00000008513	ENSG00000008513	ST3GAL1	ensembl_from_source	unique	True	
OKSA	ENSG00000008516	ENSG00000008516	MMP25	ensembl_from_source	unique	True	
OKSA	ENSG00000008517	ENSG00000008517	IL32	ensembl_from_source	unique	True	
OKSA	ENSG00000008710	ENSG00000008710	PKD1	ensembl_from_source	unique	True	
OKSA	ENSG00000008735	ENSG00000008735	MAPK8IP2	ensembl_from_source	unique	True	
OKSA	ENSG00000008838	ENSG00000008838	MED24	ensembl_from_source	unique	True	
OKSA	ENSG00000008853	ENSG00000008853	RHOBTB2	ensembl_from_source	unique	True	
OKSA	ENSG00000008869	ENSG00000008869	HEATR5B	ensembl_from_source	unique	True	
OKSA	ENSG00000008952	ENSG00000008952	SEC62	ensembl_from_source	unique	True	
OKSA	ENSG00000008988	ENSG00000008988	RPS20	ensembl_from_source	unique	True	
OKSA	ENSG00000009307	ENSG00000009307	CSDE1	ensembl_from_source	unique	True	
OKSA	ENSG00000009335	ENSG00000009335	UBE3C	ensembl_from_source	unique	True	
OKSA	ENSG00000009413	ENSG00000009413	REV3L	ensembl_from_source	unique	True	
OKSA	ENSG00000009694	ENSG00000009694	TENM1	ensembl_from_source	unique	True	
OKSA	ENSG00000009724	ENSG00000009724	MASP2	ensembl_from_source	unique	True	
OKSA	ENSG00000009780	ENSG00000009780	FAM76A	ensembl_from_source	unique	True	
OKSA	ENSG00000009790	ENSG00000009790	TRAF3IP3	ensembl_from_source	unique	True	
OKSA	ENSG00000009830	ENSG00000009830	POMT2	ensembl_from_source	unique	True	
OKSA	ENSG00000009844	ENSG00000009844	VTA1	ensembl_from_source	unique	True	
OKSA	ENSG00000009954	ENSG00000009954	BAZ1B	ensembl_from_source	unique	True	
OKSA	ENSG00000010017	ENSG00000010017	RANBP9	ensembl_from_source	unique	True	
OKSA	ENSG00000010030	ENSG00000010030	ETV7	ensembl_from_source	unique	True	
OKSA	ENSG00000010072	ENSG00000010072	SPRTN	ensembl_from_source	unique	True	
OKSA	ENSG00000010165	ENSG00000010165	METTL13	ensembl_from_source	unique	True	
OKSA	ENSG00000010219	ENSG00000010219	DYRK4	ensembl_from_source	unique	True	
OKSA	ENSG00000010244	ENSG00000010244	ZNF207	ensembl_from_source	unique	True	
OKSA	ENSG00000010256	ENSG00000010256	UQCRC1	ensembl_from_source	unique	True	
OKSA	ENSG00000010270	ENSG00000010270	STARD3NL	ensembl_from_source	unique	True	
OKSA	ENSG00000010278	ENSG00000010278	CD9	ensembl_from_source	unique	True	
OKSA	ENSG00000010292	ENSG00000010292	NCAPD2	ensembl_from_source	unique	True	
OKSA	ENSG00000010295	ENSG00000010295	IFFO1	ensembl_from_source	unique	True	
OKSA	ENSG00000010310	ENSG00000010310	GIPR	ensembl_from_source	unique	True	
OKSA	ENSG00000010318	ENSG00000010318	PHF7	ensembl_from_source	unique	True	
OKSA	ENSG00000010319	ENSG00000010319	SEMA3G	ensembl_from_source	unique	True	
OKSA	ENSG00000010322	ENSG00000010322	NISCH	ensembl_from_source	unique	True	
OKSA	ENSG00000010327	ENSG00000010327	STAB1	ensembl_from_source	unique	True	
OKSA	ENSG00000010361	ENSG00000010361	FUZ	ensembl_from_source	unique	True	
OKSA	ENSG00000010404	ENSG00000010404	IDS	ensembl_from_source	unique	True	
OKSA	ENSG00000010539	ENSG00000010539	ZNF200	ensembl_from_source	unique	True	
OKSA	ENSG00000010610	ENSG00000010610	CD4	ensembl_from_source	unique	True	
OKSA	ENSG00000010626	ENSG00000010626	LRRC23	ensembl_from_source	unique	True	
OKSA	ENSG00000010671	ENSG00000010671	BTK	ensembl_from_source	unique	True	
OKSA	ENSG00000010704	ENSG00000010704	HFE	ensembl_from_source	unique	True	
OKSA	ENSG00000010803	ENSG00000010803	SCMH1	ensembl_from_source	unique	True	
OKSA	ENSG00000010810	ENSG00000010810	FYN	ensembl_from_source	unique	True	
OKSA	ENSG00000010818	ENSG00000010818	HIVEP2	ensembl_from_source	unique	True	
OKSA	ENSG00000011007	ENSG00000011007	ELOA	ensembl_from_source	unique	True	
OKSA	ENSG00000011009	ENSG00000011009	LYPLA2	ensembl_from_source	unique	True	
OKSA	ENSG00000011021	ENSG00000011021	CLCN6	ensembl_from_source	unique	True	
OKSA	ENSG00000011028	ENSG00000011028	MRC2	ensembl_from_source	unique	True	
