gene	published_direction	in_primary_219	oksa_coef	oksa_p	oksa_fdr	li194_mean_diff	li95_mean_diff	li95_median_diff	li95_rank_biserial	li95_mwu_p	li95_bh_q	oksa_direction	li95_direction	oksa_li95_match	li194_li95_match
CXXC5	C1	False	1.48406648998938	4.51588019642908e-05	0.0380839983123758		1.45720531875949	1.7622117668619204	0.7521697203471553	1.4345720309185455e-09	5.977383462160606e-09	up_in_slow	up_in_C1	True	
DAPK1	C1	True	1.55239843521452	0.0012935263779848	0.130606158206013	1.462523570985115	2.565526220917187	2.8019569411085445	0.8476374156219866	9.096071443573781e-12	2.2740178608934452e-10	up_in_slow	up_in_C1	True	True
DLGAP3	C1	True	1.84336645751271	0.0006818124501503	0.108580018484101	1.104470733792439	1.781207406042923	1.9525438354248905	0.8206364513018323	4.03595932765838e-11	4.03595932765838e-10	up_in_slow	up_in_C1	True	True
DSCAM	C2	False				-0.9795994830128423	-2.1371658236439743	-2.517218343395205	-0.6456123432979749	1.7851697298965367e-07	3.305869870178772e-07	down_in_slow	down_in_C1	False	True
EFEMP1	C2	True	-1.90518501801758	0.104685255884457	0.576327934869235	-1.221462687693257	-2.514600127987542	-2.76528268966524	-0.5568948891031822	7.431420557670297e-06	8.846929235321781e-06	down_in_slow	down_in_C1	True	True
EGLN3	C1	False	1.64552797639474	0.0082693195174761	0.271720712135793		2.1667866627993844	2.1977021204541654	0.8389585342333654	1.4756091514260725e-11	2.459348585710121e-10	up_in_slow	up_in_C1	True	
ESAM	C1	False	3.10317522581758	5.47913756460238e-06	0.0134156683269289		3.3292324648932077	3.6530647817062043	0.9045323047251688	3.383908939771503e-13	1.6919544698857515e-11	up_in_slow	up_in_C1	True	
FGD4	C1	True	0.770663657313705	0.0372160524008553	0.432890756786196	1.1840373311182877	1.5843712100710876	1.6351213455480096	0.6460945033751206	2.018992801798367e-07	3.605344288925655e-07	up_in_slow	up_in_C1	True	True
FRZB	C2	True	0.0396989458105925	0.962528975290677	0.99267039268748	-1.065484646341868	-0.9704301435142337	-1.3441461491801805	-0.4320154291224687	0.0005122938437663717	0.000544993450815289	up_in_slow	down_in_C1	False	True
FZD6	C1	False	1.32682696011482	0.0042207945932468	0.208110484425846		1.4033435562957095	1.850637343890634	0.5294117647058822	2.0606863467265346e-05	2.396146914798296e-05	up_in_slow	up_in_C1	True	
GALNT6	C1	False	0.913611957982816	0.0025294836550421	0.171022363409292		1.140778129830787	1.1397385330103944	0.5998071359691417	1.4004662010716934e-06	1.795469488553453e-06	up_in_slow	up_in_C1	True	
GATA2	C1	True	2.32883506759674	8.67342133252585e-06	0.0169894977061516	1.486028956439295	2.939434420320472	3.2817351284838256	0.832208293153327	2.1433075084013324e-11	2.6791343855016655e-10	up_in_slow	up_in_C1	True	True
GLB1L2	C1	False	0.870151258083957	0.0967910306615096	0.563430225437637		0.8262381277809805	0.8211432447630145	0.3895853423336548	0.0017331126911257402	0.0017684823378834084	up_in_slow	up_in_C1	True	
GSN	C2	False	-1.20665615668619	0.0012079479496641	0.128593937163156		-1.4864931811018156	-1.3767160954334994	-0.674059787849566	5.8699474044630914e-08	1.222905709263144e-07	down_in_slow	down_in_C1	True	
IL12RB2	C2	False	-0.343934566183979	0.612382913168026	0.888371193615246		-1.0204402762441953	-1.08090120824592	-0.41369334619093534	0.0008791035886402947	0.0009157329048336402	down_in_slow	down_in_C1	True	
ITM2A	C1	False	1.42612080799578	0.0001535094643499	0.0577210979371918		1.712265875677355	1.6422260354508182	0.725168756027001	5.4056650899117595e-09	1.5899014970328704e-08	up_in_slow	up_in_C1	True	
MAPK14	C1	False	0.204448306536515	0.362894415852956	0.772645602063558		0.5645446737621356	0.5151392788845008	0.6229508196721312	5.407498527822262e-07	7.95220371738568e-07	up_in_slow	up_in_C1	True	
MAST4	C1	False	1.29746418068533	0.0110675462154924	0.290215656317357		1.9890931373671874	2.407662863269625	0.7608486017357763	9.274384973553453e-10	4.637192486776726e-09	up_in_slow	up_in_C1	True	
MPV17L	C1	True	2.50556724099023	2.2289042234283e-05	0.027287359955321	1.2766113012151394	1.998441718509243	2.1844671015567254	0.6147540983606556	7.60043864216287e-07	1.0556164780781764e-06	up_in_slow	up_in_C1	True	True
NEO1	C2	True	-1.48415432820759	0.001857863615621	0.151437300493092	-1.1663386677014433	-1.704347076528017	-1.8266766910648444	-0.7685631629701061	6.268416253484882e-10	3.917760158428051e-09	down_in_slow	down_in_C1	True	True
NKAIN3	C1	False	0.930815305583803	0.137992499919832	0.609313712149798		1.2871987732074892	1.5971401204032203	0.6687560270009643	7.443875645155752e-08	1.4887751290311505e-07	up_in_slow	up_in_C1	True	
NPR3	C1	True	1.56560897909236	0.0086775346107169	0.275070244374424	0.8806757936346064	1.120411175027245	0.9847546223249495	0.45033751205400185	0.00029276962342423223	0.0003182278515480785	up_in_slow	up_in_C1	True	True
OR2B6	C1	False	0.560095178562846	0.23390970773842	0.696805075864069		1.289077791000671	1.3350078687391997	0.5988428158148504	1.456050400646973e-06	1.8200630008087163e-06	up_in_slow	up_in_C1	True	
OR4D5	C1	False	0.237374359366507	0.730628494339643	0.929683704503373		0.8336410373034497	1.3110229272212002	0.4570877531340405	0.00020135653879334447	0.0002237294875481605	up_in_slow	up_in_C1	True	
PDGFC	C1	True	1.01079485352054	0.168974936048458	0.641077096129614	0.7123689839056355	1.542363811148495	1.1634694678654856	0.5149469623915139	3.445619676026995e-05	3.915476904576131e-05	up_in_slow	up_in_C1	True	True
PLEKHG3	C1	True	-0.0733944583475616	0.861330507273432	0.965989938791266	1.1278642640145398	1.9773520879491215	2.234254172799634	0.7859209257473481	2.560854371984449e-10	1.8291816942746063e-09	down_in_slow	up_in_C1	False	True
PWWP2B	C1	True	0.622504831976468	0.0978787812659029	0.563766959428466	0.9776696977398184	1.5696615737335922	1.6262401452166149	0.7058823529411764	1.3555603584265696e-08	3.5672641011225515e-08	up_in_slow	up_in_C1	True	True
REPS2	C1	False	0.0165243121544085	0.955760043096391	0.991165516850462		1.1048249019115106	1.1891471117209802	0.6104146576663452	9.092073250551565e-07	1.1963254277041534e-06	up_in_slow	up_in_C1	True	
SALL4	C1	True	2.36165979724402	0.0006297578136516	0.106611100713059	1.2139615661738836	1.970693618802967	1.9931454728237998	0.6557377049180328	1.3260117861250937e-07	2.5500226656251803e-07	up_in_slow	up_in_C1	True	True
SDC2	C1	False	1.06791579661849	0.0042599440378143	0.208110484425846		2.1497867838667872	2.0147570743886014	0.7531340405014464	1.367023627087956e-09	5.977383462160606e-09	up_in_slow	up_in_C1	True	
SERTAD4	C1	True	1.96245665115827	0.0164024060050815	0.326840127494519	1.1613638183247945	1.9046718374104579	1.73863636913633	0.639344262295082	2.6903720994419993e-07	4.3393098378096765e-07	up_in_slow	up_in_C1	True	True
SHE	C1	True	3.56122355799133	9.84596479002028e-07	0.0048215689576729	1.3227219986761565	2.471091535240583	3.5025998829004594	0.6943105110896817	2.325902227711366e-08	5.814755569278415e-08	up_in_slow	up_in_C1	True	True
SLC6A20	C1	True	1.47607838461295	0.0052375112842365	0.228490804088254	1.2809808959524074	1.4808791118870293	1.7789720505574902	0.5650916104146577	5.4816252543943934e-06	6.684908846822432e-06	up_in_slow	up_in_C1	True	True
STAB1	C1	True	2.01784390972649	0.0050234374156095	0.225055803276425	1.0844718735046759	2.332654760561274	2.1261576779586147	0.6875602700096433	3.17674947169796e-08	7.21988516294991e-08	up_in_slow	up_in_C1	True	True
TDRD10	C1	False	2.1173565018353	0.0025750658404157	0.172029674617712		1.3133440195393056	1.4803694890749552	0.6441658630665381	2.1743664604727733e-07	3.748907690470299e-07	up_in_slow	up_in_C1	True	
TFPI	C1	False	2.69790739266125	1.94542510457419e-06	0.0076213973896798		3.9381223496496194	4.415324867784079	0.807135969141755	8.355113142645594e-11	6.962594285537995e-10	up_in_slow	up_in_C1	True	
TXNRD3	C1	False	1.32156364585923	0.0003879389865239	0.0863516916821787		1.3565032019880654	1.02752274218118	0.613307618129219	8.071711228085243e-07	1.0907717875790868e-06	up_in_slow	up_in_C1	True	
VAV3	C1	False	0.463625944002364	0.0122324101567592	0.297280955521836		0.7107079696809482	0.7274118648847008	0.6412729026036643	2.485861154043353e-07	4.143101923405588e-07	up_in_slow	up_in_C1	True	
XPNPEP2	C2	False	-0.391405712153491	0.456086882349865	0.82089771675725		-0.7241639595656073	-0.40370646636005425	-0.3876567020250723	0.001827043396041963	0.0018270433960419629	down_in_slow	down_in_C1	True	
