gene	oksa_effect	li194_effect	concordant
ALX4	-0.908522498565473	-0.4356487505549666	True
NDFIP2	-0.902487628866108	-0.9810715918417904	True
NTN3	-0.887645258595815	-0.2094793141299715	True
CHAT	-0.878340542303139	-0.263202978572858	True
ARMCX2	-0.800692821850005	-0.7120294319576992	True
ANGPTL2	-0.800598722304011	-0.2239763399403541	True
TFEC	-0.795410907186042	0.4831490779394333	False
HHIPL1	-0.787652789698538	-0.7378850340570461	True
HMX2	-0.773529425938657	-0.602525468531841	True
SLC16A2	-0.763726108806595	-0.814040024408266	True
CEL	-0.747626857845924	-0.4036516844990429	True
LRRC14B	-0.727640227350987	-0.7256096934011528	True
TACC2	-0.67574821432414	-0.5629029218085542	True
GADL1	-0.656269551323994	-0.5257642983276607	True
TERT	-0.625310829613836	-0.4888569210196791	True
GABRD	-0.617844689104458	-0.5889352631017692	True
NGFR	-0.613415786118237	-0.8455724157354806	True
ZSCAN23	-0.610462959393435	0.1464205666224445	False
ST14	-0.536770462644524	0.1646054024669127	False
NOL4	-0.476020488313455	-1.1343043573670872	True
IL10	-0.475817298391312	0.0814326920994276	False
PATJ	-0.4746003933347	0.2810916581065948	False
GALNT3	-0.464594534482138	0.4794014493581384	False
PCDH18	-0.453051896071677	-0.8033183139662403	True
BNC2	-0.441676948542828	0.3080978534876814	False
XKR6	-0.42673413658976	0.3795205567066895	False
ZDBF2	-0.408113742485334	0.0500078522642562	False
IRX3	-0.395959975767462	-0.2867037796870583	True
SLC7A11	-0.371724415813222	-1.091358053821586	True
GPR176	-0.343110554090812	-0.8526637486119069	True
GP1BB	-0.329926998397759	-0.8021122816955627	True
VIPR2	-0.329593891275038	-0.8939277492381648	True
CCDC89	-0.320321546325353	-0.1838500519796916	True
TMEM233	-0.273559908384412	-0.6964233449186055	True
ABCB1	-0.261040963695666	0.2074090247808368	False
SLC44A3	-0.253073202825967	-1.1180813174459052	True
ADAMTS16	-0.225761822549231	-0.8961592979239051	True
GABRQ	-0.183827472866408	-0.4205403313982268	True
CCDC8	-0.175863008972761	-0.0873403657773367	True
FZD2	-0.107054438585154	-0.0187890162848618	True
TES	-0.103356772668401	0.3440047523981892	False
ADAMTS18	-0.0811592327740298	-0.4055688688741136	True
PLEKHG3	-0.0733944583475616	1.1278642640145398	False
MEGF10	-0.0410721062013528	-0.5874292515960045	True
NUAK2	-0.0351802342858374	0.1996326145227068	False
BMPER	-0.0303361437515766	-0.8170148865255171	True
STX1A	-0.0166572664890072	0.1245724419318382	False
ALCAM	-0.0137088691262912	0.9055378557339444	False
MYZAP	0.0091141134498449	0.6361663439408842	True
EPB41L3	0.0201193135333255	0.3597537037782574	True
ZFYVE28	0.0345511485854447	0.2359102359091396	True
ZNF835	0.0384247938538818	-0.0178061531990306	False
FRZB	0.0396989458105925	-1.065484646341868	False
OASL	0.0827145696437475	0.4595662478089198	True
GLT1D1	0.0911703805982367	0.45876331868812	True
HOXB2	0.0934677086162679	0.4713341109350464	True
LDB2	0.0960190667040549	-0.5675485931693462	False
MCOLN2	0.123300114166076	0.2221709758415673	True
SEMA5A	0.139869719408574	0.6851917768625431	True
KLRF1	0.140360580856281	0.2081244122203523	True
NRXN2	0.148334780290007	-0.7358475752966234	False
RGS2	0.153988710617007	0.3969126859589689	True
FBLN5	0.156163783161079	-0.6415394555174053	False
GYG2	0.159347706219492	-0.5151632760685119	False
DYSF	0.168105602515763	0.3250900860473273	True
GABRA4	0.178696444194071	-1.0378347154268728	False
DST	0.199371522998635	0.4721051423315495	True
BARX2	0.215216474789265	0.2169102526499245	True
FOXL1	0.225203275431293	-0.0015854954951247	False
ARRDC4	0.231981093673661	0.3943746794278999	True
VWDE	0.252143657150432	0.3690972479275712	True
THEM4	0.271250539404121	0.2605359518087944	True
GOLIM4	0.29424246385876	0.682049938416858	True
PHGDH	0.294819009616513	-0.7968608232794062	False
CREB5	0.329083019759208	0.4029354819004279	True
SYNM	0.334161963809109	0.1823960306736617	True
BTG3	0.342351565586856	0.3757927987990515	True
PLXNA4	0.350545208539994	0.5032316554816426	True
S100A10	0.362519938977531	0.2077284679718661	True
DUSP4	0.37272537062387	0.0522098039706852	True
HOPX	0.389736744453753	0.2237142904436865	True
GRHL1	0.396299461133981	0.4397425738508691	True
SYTL4	0.402185575575296	0.5769895657740496	True
CPA3	0.414627092265967	0.5629910752455544	True
NECAB1	0.434760466159515	0.5907046262351028	True
F3	0.453241019326271	-0.0780441176566476	False
MATK	0.461123133574049	0.2664377517838207	True
HES1	0.535093417724527	0.2193780769314002	True
SEMA6B	0.546192932655218	0.541823193907203	True
SOX8	0.546501993073603	0.4493532879472553	True
FBLN2	0.571631191302201	0.7666046270868511	True
PRTG	0.581160435930109	0.5944959665349747	True
PPBP	0.605954691001814	0.3816880328732622	True
MTFP1	0.609800987346766	0.6012091415217582	True
CSF1	0.618770926116312	0.4456607421869901	True
CPAMD8	0.622247050886775	1.0763897190516865	True
PWWP2B	0.622504831976468	0.9776696977398184	True
ALDH1A1	0.636048427768687	0.7934021668608353	True
LCA5	0.66458563335028	0.4875818297125905	True
PLCB4	0.677460000514877	0.819290911620446	True
CRACD	0.748530316997605	0.7150184799973265	True
FGD4	0.770663657313705	1.1840373311182877	True
RASGEF1B	0.771438238652526	0.5850760340620771	True
B3GAT1	0.77939255217816	0.8315878289943723	True
SLC32A1	0.795856077515827	0.2916231267308151	True
KLF4	0.831596193449201	0.4524001306912304	True
RGS18	0.844064231926505	0.9262746298572452	True
GLB1L3	0.893928572567706	0.4455774644265086	True
CDKN1C	0.900071279544184	0.6209252191802178	True
SEMA7A	0.904292199155137	0.5519859464146438	True
SIGLEC1	0.919171060202252	0.5453726084266466	True
AREG	0.922196284803206	0.5317982141661004	True
PDGFC	1.01079485352054	0.7123689839056355	True
RASL11A	1.06965534123079	0.1414100984395941	True
LONRF3	1.14795056377987	0.4887798592599626	True
B3GNT7	1.17788161962384	0.4115308037319177	True
DDN	1.20174126046631	0.1631422226290041	True
NECTIN2	1.20807226222112	0.3998803061472163	True
MLF1	1.25012073736469	0.2307161983351529	True
CD33	1.28931377128775	1.3527845140929529	True
MB21D2	1.30664576018134	0.4347118219542538	True
TUFT1	1.36382461176127	0.3593042482662678	True
TPO	1.37223306945563	1.01277561732234	True
SLC2A8	1.43237281048111	0.9478025654136052	True
BRINP2	1.44765742994548	-0.8483616537573999	False
FST	1.45133606629754	0.7459933126116551	True
SLC6A20	1.47607838461295	1.2809808959524074	True
CNKSR3	1.48930924756135	1.0548665298392583	True
IL12A	1.5023137268102	0.6520940350817662	True
FAM124B	1.51575921278213	1.0355484326839912	True
ATP6V0A4	1.53309283198945	0.2228440788730618	True
UCK2	1.54335455799237	0.925676958942669	True
DAPK1	1.55239843521452	1.462523570985115	True
NPR3	1.56560897909236	0.8806757936346064	True
AKR1E2	1.60830804926489	0.6272824080594012	True
INHBB	1.61580567965516	0.3204019355973518	True
NRIP3	1.64788667343528	0.4716318456451087	True
FHAD1	1.67597885327684	0.7273678497313447	True
B3GALNT1	1.68124884853856	0.9321573600724514	True
CHRNB4	1.70322163372244	1.082118917685261	True
ANPEP	1.75667323792258	1.1961847600772817	True
CREG2	1.81499289484808	1.1918805684256035	True
ATP9A	1.82015789474967	1.311566109698772	True
RGCC	1.82200750637238	1.1527544079285592	True
DLGAP3	1.84336645751271	1.104470733792439	True
SERTAD4	1.96245665115827	1.1613638183247943	True
SDC4	2.00232511279366	0.6863907796483493	True
STAB1	2.01784390972649	1.084471873504676	True
CABLES1	2.09891079214713	0.9193866775763132	True
SGCZ	2.18231570045744	0.5852073374922463	True
GATA2	2.32883506759674	1.486028956439295	True
SALL4	2.36165979724402	1.2139615661738836	True
B4GALNT4	2.48322438926198	0.5158574277204638	True
MPV17L	2.50556724099023	1.2766113012151394	True
PABPC4L	2.76274149268956	0.6354894573095156	True
CDH2	3.14699470110835	0.6555098628106566	True
SHE	3.56122355799133	1.3227219986761565	True
ANKRD30B	4.34737761393592	0.9513863298792472	True
