gene,positive_n,negative_n,positive_mean_z,negative_mean_z,delta_z,mw_p,bh_fdr,by_fdr,holm_fwer
HSPE1,11,99,-0.1647090909090909,0.03549191919191919,-0.20020101010101007,0.618358059180073,0.8632421952928111,1.0,1.0
TFAM,11,99,-0.1828545454545454,0.028050505050505017,-0.21090505050505043,0.618358059180073,0.8632421952928111,1.0,1.0
SNORD6,11,99,0.11408181818181819,-0.06099595959595958,0.17507777777777778,0.618358059180073,0.8632421952928111,1.0,1.0
C12orf57,11,99,-0.13470000000000004,0.043834343434343434,-0.1785343434343435,0.618358059180073,0.8632421952928111,1.0,1.0
TLK2,11,99,0.19082727272727273,0.02310909090909091,0.16771818181818182,0.618358059180073,0.8632421952928111,1.0,1.0
NRAS,11,99,0.256209090909091,0.02254444444444444,0.23366464646464655,0.618358059180073,0.8632421952928111,1.0,1.0
REEP6,11,99,0.12726363636363636,-0.05981111111111113,0.18707474747474748,0.618358059180073,0.8632421952928111,1.0,1.0
UBE2Q1,11,99,-0.11319090909090908,0.01780909090909092,-0.131,0.618358059180073,0.8632421952928111,1.0,1.0
PPM1G,11,99,-0.11255454545454545,-0.02277777777777777,-0.08977676767676768,0.618358059180073,0.8632421952928111,1.0,1.0
BAIAP2L2,11,99,-0.006881818181818183,-0.04223434343434342,0.03535252525252524,0.618358059180073,0.8632421952928111,1.0,1.0
TRERF1,11,99,0.027054545454545442,-0.0008202020202020151,0.02787474747474746,0.618358059180073,0.8632421952928111,1.0,1.0
CIAO1,11,99,-0.16827272727272727,-0.008991919191919192,-0.15928080808080808,0.618358059180073,0.8632421952928111,1.0,1.0
EXOSC2,11,99,-0.1447272727272727,0.03983030303030307,-0.18455757575757578,0.618358059180073,0.8632421952928111,1.0,1.0
MKI67,11,99,0.00884545454545456,-0.17427979797979795,0.18312525252525252,0.618358059180073,0.8632421952928111,1.0,1.0
ZNF782,11,99,0.18579090909090912,0.054934343434343426,0.1308565656565657,0.618358059180073,0.8632421952928111,1.0,1.0
ECE2,11,99,-0.34867272727272725,-0.0952040404040404,-0.25346868686868684,0.618358059180073,0.8632421952928111,1.0,1.0
ZNF70,11,99,0.3325,0.17335656565656565,0.15914343434343436,0.618358059180073,0.8632421952928111,1.0,1.0
ASNA1,11,99,-0.15779090909090907,0.06353232323232323,-0.2213232323232323,0.618358059180073,0.8632421952928111,1.0,1.0
CDC6,11,99,-0.24612727272727272,-0.1262939393939394,-0.11983333333333332,0.618358059180073,0.8632421952928111,1.0,1.0
ATXN7,11,99,0.24432727272727275,0.09930505050505051,0.14502222222222225,0.618358059180073,0.8632421952928111,1.0,1.0
INTS9,11,99,0.09205454545454544,0.009213131313131328,0.08284141414141412,0.618358059180073,0.8632421952928111,1.0,1.0
HELZ,11,99,0.17676363636363637,0.009677777777777804,0.16708585858585856,0.618358059180073,0.8632421952928111,1.0,1.0
HELLS,11,99,0.08384545454545453,-0.06458686868686869,0.14843232323232322,0.618358059180073,0.8632421952928111,1.0,1.0
