PATIENT_ID,SAMPLE_ID,fusion_status,sample_type_code,PC1,PC2
TARGET-10-PARUBK,TARGET-10-PARUBK-03,Negative,03,7.340861107571263,-2.6230160218008316
TARGET-10-PARUGP,TARGET-10-PARUGP-09,Negative,09,7.121658377511727,-7.440632958158573
TARGET-10-PARVWD,TARGET-10-PARVWD-09,Negative,09,-3.64736782871981,1.8383223610704909
TARGET-10-PARXMC,TARGET-10-PARXMC-09,Positive,09,-8.858163356395613,8.907175119621764
TARGET-10-PASCIU,TARGET-10-PASCIU-03,Negative,03,-5.507384538579843,2.151475971316416
TARGET-10-PASDYK,TARGET-10-PASDYK-03,Negative,03,-10.408543283155378,-1.794603570739743
TARGET-10-PASEVJ,TARGET-10-PASEVJ-09,Negative,09,1.6290964040195604,4.9453678546425826
TARGET-10-PASFXA,TARGET-10-PASFXA-03,Negative,03,9.225821867975231,-10.29921646711646
TARGET-10-PASHUI,TARGET-10-PASHUI-09,Negative,09,2.1505454011143534,0.3660524723537861
TARGET-10-PASKAY,TARGET-10-PASKAY-09,Negative,09,2.5112179902140213,-12.900839361473128
TARGET-10-PASKHT,TARGET-10-PASKHT-03,Negative,03,-8.617525783885565,-14.287853884299631
TARGET-10-PASSXJ,TARGET-10-PASSXJ-03,Negative,03,19.02882551097961,-6.699720658081837
TARGET-10-PASUBW,TARGET-10-PASUBW-09,Negative,09,15.51851012797593,-9.507182298332074
TARGET-10-PASYGM,TARGET-10-PASYGM-03,Negative,03,-14.371638325383259,-19.652854153413983
TARGET-10-PATCTI,TARGET-10-PATCTI-09,Negative,09,-4.783564396584536,-7.981888398180394
TARGET-10-PATTEE,TARGET-10-PATTEE-03,Negative,03,13.673114445302664,-9.99940178491651
